Song_Id,Track Name,Artist_name,URL,StateID,GenreID,StateID,song_length
1,Reggaetón Lento (Bailemos),CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,,4,42,247640
2,Chantaje,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,,7,33,197328
3,Otra Vez (feat. J Balvin),Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,,5,5,231781
4,Vente Pa' Ca,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,,9,39,273554
5,Safari,J Balvin,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,,7,42,140329
6,La Bicicleta,Carlos Vives,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,,10,4,235520
7,Ay Mi Dios,IAmChino,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,,4,38,226220
8,Andas En Mi Cabeza,Chino & Nacho,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,,1,27,276793
9,Traicionera,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,,4,42,228623
10,Shaky Shaky,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,,7,23,232629
11,Vacaciones,Wisin,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,,6,31,272544
12,Dile Que Tu Me Quieres,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,,7,24,254880
13,Let Me Love You,DJ Snake,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,,2,5,180871
14,DUELE EL CORAZON,Enrique Iglesias,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,,2,42,257602
15,Chillax,Farruko,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,,3,8,282697
16,Borro Cassette,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,,8,21,221518
17,One Dance,Drake,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,,9,24,199157
18,Closer,The Chainsmokers,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,,8,39,169430
19,Starboy,The Weeknd,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,,6,5,374027
20,Desde Esa Noche,Thalía,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,,7,5,246015
21,Don't Wanna Know,Maroon 5,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,,9,44,228993
22,La Gozadera,Gente De Zona,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,,5,22,226951
23,24K Magic,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,,8,15,292571
24,Me Llamas (feat. Maluma) - Remix,Piso 21,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,,2,29,220056
